company,location,salary,title
"
        Day Zero Diagnostics","Boston, MA",Unknown,Associate Data Scientist
"

        The Climate Corporation","Chicago, IL",Unknown,Data Scientist - Crop Management
"

        23andMe","Sunnyvale, CA",Unknown,Data Scientist - Lab Operations
"

        JP Morgan Chase","New York, NY",Unknown,CIB data+design - Data Scientist - VP
"
        FairWarning","Saint Petersburg, FL",Unknown,Data Scientist
"
        Ring Inc.","Seattle, WA",Unknown,Data Scientist
"

        Facebook","Seattle, WA",Unknown,"Data Scientist, Analytics - Messenger Performance"
"

        KPMG","Dallas, TX",Unknown,"Sr. Associate, Data Scientist Machine Learning"
"

        UCLA Health","Los Angeles, CA",Unknown,Sr. Data Analyst
"

        Disney Streaming Services","New York, NY",Unknown,"Director – Data Science, Modeling"
"

        NCI Information Systems, Inc.","Columbus, OH",Unknown,AI Engineer
"

        Humana","Boston, MA",Unknown,AI Implementation Manager (Data Scientist Manager - Consumer group)
"

        Marlette Funding",California,Unknown,Data Scientist
"

        Indeed","Austin, TX","


                            $130,000 - $162,000 a year

","Senior Data Scientist, Product - Resume Search"
"

        Indeed","Austin, TX","


                            $157,000 - $191,000 a year

",Senior Data Scientist
"
        NarrativeDx","Austin, TX",Unknown,Data Scientist
"
        BestReviews","San Francisco, CA",Unknown,Data Scientist
"
        Seen by Indeed","Chicago, IL",Unknown,Data Scientist
"

        Valassis Digital","Morrisville, NC",Unknown,Data Scientist
"

        Echo Global Logistics","Chicago, IL",Unknown,Data Scientist
"

        Ohio Health","Dublin, OH",Unknown,Data Scientist
"
        System1","Venice, CA",Unknown,Data Scientist
"
        Etiometry","Boston, MA",Unknown,Data Scientist
"

        Splunk","San Francisco, CA",Unknown,ML/Data Science Intern (Summer 2020)
"

        Amazon.com Services, Inc.","Seattle, WA",Unknown,Data Scientist - Music
"

        Booz Allen Hamilton","Alexandria, VA",Unknown,"Data Scientist/Quantitative Social Scientist, Mid"
"

        Centauri","Beavercreek, OH",Unknown,Data Scientist
"

        Pilgrim's","Greeley, CO",Unknown,QLIKSENSE DATA SCIENTIST
"

        CACI","Austin, TX",Unknown,Data Science Internship
"

        NT Concepts","Fort Worth, TX",Unknown,"Data Scientist (Ft. Worth, TX)"
"
        Precima","Chicago, IL",Unknown,Data Scientist
"

        Abstract Tokenization","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist
"

        Pacific Life","Newport Beach, CA",Unknown,Data Scientist
"

        red violet","Seattle, WA",Unknown,Data Scientist
"

        CGI Group, Inc.","Birmingham, AL",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $67,968 - $126,062 a year

",Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"
        Valen Analytics","Denver, CO",Unknown,Data Scientist
"

        University of Washington","Seattle, WA",Unknown,DATA SCIENTIST
"

        Intel","Santa Clara, CA",Unknown,Marketing Data Scientist
"

        NBCUniversal","New York, NY",Unknown,"Data Scientist, Peacock, Direct-to-Consumer"
"

        Walmart","Bentonville, AR",Unknown,Principal Data Scientist - Global Security
"

        New York City DEPARTMENT OF TRANSPORTATION","Manhattan, NY","


                            $57,691 - $90,056 a year

",Data Scientist
"

        Opendoor","Los Angeles, CA",Unknown,Data Scientist (Analytics)
"

        Revlon","New York, NY",Unknown,Data Scientist
"
        Certilytics",United States,Unknown,Data Scientist Deep Learning
"

        Favor","Austin, TX",Unknown,Head of Data Science
"

        Blue Apron","New York, NY",Unknown,Data Scientist
"
        Seen by Indeed","San Francisco, CA",Unknown,Data Scientist
"

        Saint Luke’s Health System","Kansas City, MO",Unknown,Data Scientist
"
        Tiger Analytics","St. Louis, MO",Unknown,Data Scientist - Machine Learning
"

        Arm","Austin, TX",Unknown,Machine Learning Researcher
"

        ViaSat","Carlsbad, CA",Unknown,Industrial Engineer University Grad - Data Scientist
"

        Disney Streaming Services","New York, NY",Unknown,Data Scientist - Experimentation
"

        Mitchell International, Inc.","San Diego, CA",Unknown,Machine Learning / Data Scientist Internship (Summer 2020) - San Diego
"
        WTS Paradigm","Montreal, WI",Unknown,Data/AI Scientist - Spécialiste données et intelligence artificielle
"

        Virginia Tech Applied Research Corporation","Arlington, VA",Unknown,Data Scientist
"

        Starbucks","Seattle, WA",Unknown,"data scientist, Global Supply Chain, Advanced Analytics - Seattle, WA"
"

        Wolverine Trading","Chicago, IL",Unknown,Machine Learning Data Scientist
"

        Paypal","San Jose, CA",Unknown,Data Scientist
"

        CaptionCall","Salt Lake City, UT",Unknown,Data Scientist
"

        UCHealth","Aurora, CO",Unknown,Data Scientist
"

        BankUnited","Miami Lakes, FL",Unknown,Data Scientist
"
        Technical Recruiting Solutions","Lafayette, IN","


                            $70,000 - $120,000 a year

",Data Scientist (Python)
"

        Lucid Motors","Newark, CA",Unknown,Senior Data Scientist
"

        CGI Group, Inc.","Arlington, VA",Unknown,Junior Data Scientist
"
        RegLab","Stanford, CA",Unknown,Data Scientist
"
        Aegis Premier Technologies","Westminster, CO",Unknown,Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist
"
        Seen by Indeed","Chicago, IL",Unknown,Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $99,172 - $152,352 a year

",Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $27.17 - $36.60 an hour

",Graduate Studies Program - Data Scientist
"

        CACI","Aurora, CO",Unknown,Data Scientist/Researcher (Up to 25% Profit Sharing Benefit!)
"
        Day Zero Diagnostics","Boston, MA",Unknown,Associate Data Scientist
"

        The Climate Corporation","Chicago, IL",Unknown,Data Scientist - Crop Management
"

        23andMe","Sunnyvale, CA",Unknown,Data Scientist - Lab Operations
"

        JP Morgan Chase","New York, NY",Unknown,CIB data+design - Data Scientist - VP
"
        FairWarning","Saint Petersburg, FL",Unknown,Data Scientist
"

        Delve","Boulder, CO",Unknown,Cloud Data Scientist
"
        605","Pasadena, CA",Unknown,Senior Data Scientist
"
        Ring Inc.","Seattle, WA",Unknown,Data Scientist
"

        Facebook","Seattle, WA",Unknown,"Data Scientist, Analytics - Messenger Performance"
